epoch;acc;loss;val_acc;val_loss
0;0.6124294471297947;0.7655229343331655;0.6054967772593888;0.6889391612009195
1;0.7035868179380673;0.5870300822808715;0.5549069681945225;1.2064823804365
2;0.7610608727063645;0.49694031476612743;0.6317645627608862;1.1645617460981275
3;0.7979607938808557;0.43035564309128166;0.6870971664045177;1.0090527027522824
4;0.8551313952457097;0.336089401883741;0.7977623738512482;0.5445869149959365
5;0.8946410147478303;0.2683587659763293;0.8724309861638259;0.346999858463099
6;0.9152758390556054;0.2323688369949965;0.8978475009193244;0.271131304800003
7;0.9269284456868828;0.20944042444055488;0.906725039436306;0.28498569911563976
8;0.9303271226630582;0.20750002664740372;0.9294661315893962;0.21614841117079525
9;0.9365782605731358;0.18758245700119175;0.931533503486019;0.21103479403961203
10;0.939309340292529;0.18985676242901933;0.9365195184239329;0.19618657267279038
11;0.9429507798424203;0.17833754917136557;0.9432080749190812;0.17526460123565182
12;0.9448928809530593;0.17628035676725687;0.943329685037043;0.17047679893990494
13;0.9469563634554622;0.17408369469897308;0.9401678218540593;0.17950114458853725
14;0.9479274139782248;0.17199388612508268;0.9444241759827229;0.17349595573353505
15;0.9496267524500339;0.16479919624102884;0.9528152741220881;0.14617782618221206
16;0.9497481337368919;0.16559655796977266;0.9473428188138064;0.16030021681593354
17;0.9507191842849765;0.1618370483316553;0.9517207830604317;0.1491076087199263
18;0.9497481337694489;0.1632961605562417;0.9446673963346229;0.16671264616659953
19;0.9509012563364478;0.16307117825660802;0.9554906968259759;0.13697647992043574
20;0.9495660617903264;0.160926852810945;0.9506262921147519;0.14676282575251368
21;0.9539357893290563;0.15750149022268933;0.9488021403380761;0.1456252382043217
22;0.9511440189427207;0.15835931142021703;0.9524504438769306;0.1438856175400169
23;0.9536323359834922;0.1517149688815158;0.9424784140953338;0.1818247674413367
24;0.9526005947757;0.1518077259576819;0.9530584943580117;0.14670295117346602
