epoch;acc;loss;val_acc;val_loss
0;0.5402305825242718;0.690562581205831;0.6100437743190662;0.6863632689190282
1;0.5815379013007088;0.6821402072646038;0.5972272893539617;0.6752737314251962
2;0.6001699338761205;0.6712669092611744;0.605983217854461;0.6656051131839026
3;0.611822540500163;0.6635187174818531;0.6407637114755634;0.6550805074345467
4;0.615160526784074;0.6592411836055888;0.6521950625494769;0.6490368846340451
5;0.6224434059417355;0.6534012314177489;0.6307916818135675;0.6507440555288484
6;0.6303331916711498;0.6504613560199767;0.6546272649087133;0.6427459587483138
7;0.6316076955973556;0.6454118205851748;0.6352912561527847;0.640826912839874
8;0.6389512653966375;0.6439256072659338;0.646600997130482;0.6378808291335618
9;0.6439278995179722;0.6406726299316449;0.6520734524315152;0.634036235648119
10;0.6402864599102018;0.6424749930007528;0.6396692203994101;0.639311814995327
11;0.644049280812065;0.6399981592467971;0.6574242977233143;0.6279515884268476
12;0.6424106330506075;0.6358847081961473;0.6573026875038731;0.627742815978855
13;0.6496935121576249;0.6342771035082285;0.6603429405616464;0.6270096344943755
14;0.653941858329913;0.629179669955246;0.658397178558281;0.6224221919308639
15;0.6507859440323595;0.6293505536936191;0.6588836191606017;0.6211883790965905
16;0.6552770528507122;0.6270392529773591;0.6639912439990214;0.6202599879571241
17;0.6576439886118607;0.6243412943729073;0.6532895536183818;0.6279451102797573
18;0.6614675001336394;0.6215270012770853;0.6418582025154742;0.6277018021699302
19;0.6637737452423152;0.6204638128077484;0.6489115893717565;0.6184597503424242
